Team,Actual_Points
Arsenal,85
Manchester City,78
Manchester United,71
Aston Villa,65
Liverpool,60
Bournemouth,57
Sunderland,54
Brighton,53
Brentford,53
Chelsea,52
Fulham,52
Newcastle United,49
Everton,49
Leeds United,47
Crystal Palace,45
Nottingham Forest,44
Tottenham Hotspur,41
Coventry City,35.5
Ipswich Town,34
Hull City,32
